"Player","Team","Positions","IP","K","W","SV","ERA","WHIP","ER","H","BB","HR","G","GS","L","CG","PTS"
"Marco Raya","MIN","SP,RP","17.0","15","1","0","4.78","1.49","9","17","9","2","17","0","1","0","48"
"Tejay Antone","CIN","SP,RP","18.2","15","1","0","4.98","1.49","10","19","8","3","18","0","1","0","48"
"Davis Daniel","CIN","SP","19.3","15","1","0","5.38","1.53","12","21","9","4","6","2","2","0","48"
"Spencer Miles","TOR","SP","16.2","15","1","0","4.33","1.36","8","16","6","2","15","0","1","0","47"
"Duncan Davitt","CWS","SP","18.2","14","1","0","4.58","1.35","9","19","6","3","16","0","1","0","47"
"Nolan Hoffman","PHI","SP,RP","15.7","15","1","0","4.46","1.43","8","15","8","2","16","0","1","0","47"
"Vinny Nittoli","BOS","RP","16.3","15","1","0","4.72","1.40","9","16","6","2","15","0","1","0","47"
"Cam Booser","TB","RP","13.6","16","1","0","4.56","1.48","7","13","7","2","14","0","1","0","47"
"Jose Franco","CIN","SP,RP","15.7","15","1","0","4.84","1.41","8","15","7","2","15","0","1","0","47"
"Zack Thompson","STL","P","15.6","15","1","0","4.61","1.47","8","15","8","2","11","1","1","0","47"
"Jackson Kowar","BAL","RP","16.5","15","1","0","4.76","1.46","9","16","8","2","16","0","1","0","47"
"Ryan Burr","","SP,RP","11.0","16","1","0","3.68","1.23","5","9","5","1","12","0","1","0","46"
"Alex Faedo","","SP,RP","14.3","15","1","0","4.10","1.30","7","13","6","2","8","1","1","0","46"
"Jake Miller","DET","SP","17.0","14","1","0","4.30","1.33","8","17","6","2","17","0","1","0","46"
"Dane Dunning","SEA","SP,RP","16.9","14","1","0","4.40","1.32","8","17","6","2","9","2","1","0","46"
"Tanner Houck","BOS","SP","17.6","14","1","0","4.43","1.35","9","18","6","2","7","2","1","0","46"
"Shane Murphy","CWS","","19.8","13","1","0","4.62","1.31","10","21","5","3","20","0","1","0","46"
"Austin Cox","","RP","16.3","15","1","0","5.25","1.57","10","17","9","3","10","0","1","0","46"
"Manuel Rodriguez","TB","RP","15.3","14","1","0","3.70","1.24","6","14","5","1","15","0","1","0","45"
"Trevor Stephan","CLE","RP","15.1","14","1","0","4.29","1.32","7","14","6","2","15","0","1","0","45"
"Sammy Peralta","MIL","RP","16.3","14","1","0","4.32","1.32","8","16","6","2","13","0","1","0","45"
"Angel Perdomo","LAA","RP","13.5","15","1","0","4.45","1.43","7","12","7","2","13","0","1","0","45"
"JR Ritchie","ATL","SP","16.1","14","1","0","4.57","1.39","8","16","7","2","3","3","1","0","45"
"Jhancarlos Lara","ATL","SP,RP","13.0","15","1","0","4.33","1.50","6","12","8","1","13","0","1","0","45"
"Nate Lavender","NYM","RP","14.2","15","1","0","4.74","1.44","8","13","8","2","14","0","1","0","45"
"J.P. France","HOU","SP,RP","16.0","14","1","0","4.71","1.43","8","16","7","2","13","1","1","0","45"
"Hagen Smith","CWS","SP","13.8","15","1","0","4.55","1.55","7","10","12","1","3","3","1","0","45"
"Tyson Miller","CWS","RP","16.4","14","1","0","4.96","1.49","9","16","8","2","16","0","1","0","45"
"Tanner Rainey","DET","RP","14.2","14","1","0","4.54","1.42","7","13","8","2","14","0","1","0","44"
"Sean Reynolds","","RP","15.6","14","1","0","4.90","1.66","9","14","13","2","13","0","1","0","44"
"Andrew Morris","MIN","SP","16.3","13","1","0","4.15","1.31","8","17","4","2","14","1","1","0","43"
"Noah Schultz","CWS","SP","15.8","13","1","0","4.55","1.43","8","15","7","2","3","3","1","0","43"
"Jurrangelo Cijntje","STL","SP","16.6","13","1","0","4.62","1.45","9","17","8","3","4","4","1","0","43"
"Jeff Criswell","COL","RP","14.0","14","1","0","4.84","1.47","8","15","6","2","13","0","1","0","43"
"Brandon Waddell","NYM","RP","15.5","13","1","0","4.87","1.47","8","16","7","2","5","0","1","0","43"
"Jaden Woods","PIT","RP","15.6","13","1","0","4.79","1.50","8","16","8","2","16","0","1","0","43"
"Tyler Mattison","DET","RP","13.1","14","1","0","4.82","1.72","7","11","12","1","13","0","1","0","43"
"Bryce Jarvis","ARI","RP","17.3","13","1","0","5.34","1.62","10","18","10","3","11","0","1","0","43"
"James Karinchak","ATL","RP","11.9","14","1","0","4.51","1.40","6","10","6","2","12","0","1","0","42"
"Adam Macko","TOR","SP,RP","14.5","13","1","0","4.65","1.42","7","14","7","2","10","1","1","0","42"
"Juan Sanchez","SF","","14.0","13","1","0","4.77","1.49","7","14","7","2","14","0","1","0","42"
"Anthony Veneziano","","RP","15.3","13","1","0","4.71","1.60","8","16","9","2","15","1","1","0","42"
"Bradley Blalock","MIA","SP","17.6","12","1","0","5.31","1.54","10","20","7","3","14","1","1","0","42"
"Tom Cosgrove","HOU","RP","13.7","13","1","0","4.69","1.42","7","13","7","2","14","0","1","0","41"
"Freddy Tarnok","","SP,RP","13.1","13","1","0","4.82","1.45","7","12","8","2","7","1","1","0","41"
"Ryan Lambert","NYM","RP","13.7","15","0","0","4.21","1.33","6","11","7","2","14","0","1","0","41"
"Isaiah Campbell","ARI","RP","16.1","12","1","0","4.69","1.45","8","17","6","2","14","0","1","0","41"
"Riley Cornelio","WSH","SP","17.0","12","1","0","5.40","1.53","10","18","8","3","4","3","1","0","41"
"Zach Brzykcy","MIA","RP","15.1","15","0","0","5.49","1.69","9","15","10","2","17","0","1","0","41"
"Ixan Henderson","STL","SP","14.0","12","1","0","3.85","1.35","6","12","7","1","12","1","1","0","40"
